,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
99,13,-2.9511,accuracy,4.0,left,v,data_S3.csv,0.0
100,14,-0.4134,accuracy,2.0,left,v,data_S3.csv,0.0
101,15,-1.2326,accuracy,3.0,left,v,data_S3.csv,0.0
102,16,0.8044,accuracy,1.0,right,v,data_S3.csv,0.0
103,17,0.924,speed,,,a,data_S3.csv,0.0
104,18,-1.0597,speed,3.0,left,v,data_S3.csv,0.0
105,19,0.2019,speed,,,t0,data_S3.csv,0.0
106,20,0.6295,speed,,,szr,data_S3.csv,0.0
107,21,0.9733,speed,2.0,right,v,data_S3.csv,0.0
108,22,-0.1693,speed,1.0,left,v,data_S3.csv,0.0
109,23,-2.0501,speed,4.0,left,v,data_S3.csv,0.0
110,24,5.3015,speed,5.0,right,v,data_S3.csv,0.0
111,25,0.1833,speed,2.0,left,v,data_S3.csv,0.0
112,26,3.4928,speed,4.0,right,v,data_S3.csv,0.0
113,27,-3.3545,speed,5.0,left,v,data_S3.csv,0.0
114,28,3.2851,speed,3.0,right,v,data_S3.csv,0.0
115,29,0.4012,speed,1.0,right,v,data_S3.csv,0.0
116,1,0.475,,,,zr,data_S6.csv,0.0
117,2,0.9481,speed,,,a,data_S6.csv,0.0
118,3,3.1404,speed,4.0,right,v,data_S6.csv,0.0
119,4,0.1849,speed,,,t0,data_S6.csv,0.0
120,5,0.5812,speed,,,szr,data_S6.csv,0.0
121,6,0.7299,,,,sv,data_S6.csv,0.0
122,7,0.1669,,,,st0,data_S6.csv,0.0
123,8,-2.9768,speed,4.0,left,v,data_S6.csv,0.0
124,9,-0.4898,speed,1.0,left,v,data_S6.csv,0.0
125,10,-0.191,speed,2.0,right,v,data_S6.csv,0.0
126,11,-0.5451,speed,2.0,left,v,data_S6.csv,0.0
127,12,4.6152,speed,5.0,right,v,data_S6.csv,0.0
128,13,-0.1272,speed,1.0,right,v,data_S6.csv,0.0
129,14,2.1883,speed,3.0,right,v,data_S6.csv,0.0
130,15,-1.614,speed,3.0,left,v,data_S6.csv,0.0
131,16,-3.873,speed,5.0,left,v,data_S6.csv,0.0
132,17,1.18,accuracy,,,a,data_S6.csv,0.0
133,18,1.2115,accuracy,3.0,right,v,data_S6.csv,0.0
134,19,0.2587,accuracy,,,t0,data_S6.csv,0.0
135,20,0.1833,accuracy,,,szr,data_S6.csv,0.0
136,21,5.656,accuracy,5.0,right,v,data_S6.csv,0.0
137,22,-0.6028,accuracy,1.0,left,v,data_S6.csv,0.0
138,23,-0.4178,accuracy,2.0,left,v,data_S6.csv,0.0
139,24,-4.8782,accuracy,4.0,left,v,data_S6.csv,0.0
140,25,0.0767,accuracy,1.0,right,v,data_S6.csv,0.0
141,26,4.0443,accuracy,4.0,right,v,data_S6.csv,0.0
142,27,-7.5514,accuracy,5.0,left,v,data_S6.csv,0.0
143,28,0.2591,accuracy,2.0,right,v,data_S6.csv,0.0
144,29,-2.2979,accuracy,3.0,left,v,data_S6.csv,0.0
145,1,0.4566,,,,zr,data_S5.csv,0.0012
146,2,1.3622,accuracy,,,a,data_S5.csv,0.0012
147,3,2.1091,accuracy,3.0,right,v,data_S5.csv,0.0012
148,4,0.2003,accuracy,,,t0,data_S5.csv,0.0012
149,5,0.0361,accuracy,,,szr,data_S5.csv,0.0012
150,6,0.4815,,,,sv,data_S5.csv,0.0012
151,7,0.0473,,,,st0,data_S5.csv,0.0012
152,8,-3.4608,accuracy,5.0,left,v,data_S5.csv,0.0012
153,9,4.7904,accuracy,5.0,right,v,data_S5.csv,0.0012
154,10,-0.1466,accuracy,2.0,left,v,data_S5.csv,0.0012
155,11,0.6808,accuracy,1.0,right,v,data_S5.csv,0.0012
156,12,3.846,accuracy,4.0,right,v,data_S5.csv,0.0012
157,13,0.6412,accuracy,1.0,left,v,data_S5.csv,0.0012
158,14,-2.7247,accuracy,4.0,left,v,data_S5.csv,0.0012
159,15,-0.6014,accuracy,3.0,left,v,data_S5.csv,0.0012
160,16,1.1574,accuracy,2.0,right,v,data_S5.csv,0.0012
161,17,1.0189,speed,,,a,data_S5.csv,0.0012
162,18,5.4506,speed,5.0,right,v,data_S5.csv,0.0012
163,19,0.1952,speed,,,t0,data_S5.csv,0.0012
164,20,0.3723,speed,,,szr,data_S5.csv,0.0012
165,21,-1.4441,speed,3.0,left,v,data_S5.csv,0.0012
166,22,1.6063,speed,2.0,right,v,data_S5.csv,0.0012
167,23,4.1936,speed,4.0,right,v,data_S5.csv,0.0012
168,24,-4.251,speed,5.0,left,v,data_S5.csv,0.0012
169,25,-0.1495,speed,2.0,left,v,data_S5.csv,0.0012
170,26,0.5383,speed,1.0,left,v,data_S5.csv,0.0012
171,27,-2.8336,speed,4.0,left,v,data_S5.csv,0.0012
172,28,2.5196,speed,3.0,right,v,data_S5.csv,0.0012
173,29,0.8723,speed,1.0,right,v,data_S5.csv,0.0012
174,1,0.5,,,,zr,data_S7.csv,0.0
175,2,0.8167,speed,,,a,data_S7.csv,0.0
176,3,-0.1558,speed,1.0,left,v,data_S7.csv,0.0
177,4,0.1768,speed,,,t0,data_S7.csv,0.0
178,5,0.5293,speed,,,szr,data_S7.csv,0.0
179,6,0.474,,,,sv,data_S7.csv,0.0
180,7,0.1637,,,,st0,data_S7.csv,0.0
181,8,-0.2028,speed,2.0,left,v,data_S7.csv,0.0
182,9,-0.0054,speed,1.0,right,v,data_S7.csv,0.0
183,10,0.0948,speed,2.0,right,v,data_S7.csv,0.0
184,11,-1.4232,speed,3.0,left,v,data_S7.csv,0.0
185,12,1.2538,speed,3.0,right,v,data_S7.csv,0.0
186,13,-2.5986,speed,4.0,left,v,data_S7.csv,0.0
187,14,-2.7591,speed,5.0,left,v,data_S7.csv,0.0
188,15,2.3337,speed,4.0,right,v,data_S7.csv,0.0
189,16,4.2793,speed,5.0,right,v,data_S7.csv,0.0
190,17,1.1199,accuracy,,,a,data_S7.csv,0.0
191,18,1.9782,accuracy,3.0,right,v,data_S7.csv,0.0
192,19,0.2013,accuracy,,,t0,data_S7.csv,0.0
193,20,0.2637,accuracy,,,szr,data_S7.csv,0.0
194,21,4.8116,accuracy,5.0,right,v,data_S7.csv,0.0
195,22,-0.4635,accuracy,2.0,left,v,data_S7.csv,0.0
196,23,0.066,accuracy,1.0,right,v,data_S7.csv,0.0
197,24,0.3592,accuracy,2.0,right,v,data_S7.csv,0.0
198,25,-2.0178,accuracy,3.0,left,v,data_S7.csv,0.0
199,26,-0.1497,accuracy,1.0,left,v,data_S7.csv,0.0
200,27,-3.072,accuracy,4.0,left,v,data_S7.csv,0.0
201,28,4.2053,accuracy,4.0,right,v,data_S7.csv,0.0
202,29,-4.8536,accuracy,5.0,left,v,data_S7.csv,0.0
203,1,0.4319,,,,zr,data_S9.csv,0.0
204,2,1.2923,accuracy,,,a,data_S9.csv,0.0
205,3,5.7081,accuracy,5.0,right,v,data_S9.csv,0.0
206,4,0.2412,accuracy,,,t0,data_S9.csv,0.0
207,5,0.0529,accuracy,,,szr,data_S9.csv,0.0
208,6,0.3028,,,,sv,data_S9.csv,0.0
209,7,0.1253,,,,st0,data_S9.csv,0.0
210,8,-4.0429,accuracy,4.0,left,v,data_S9.csv,0.0
211,9,2.3787,accuracy,3.0,right,v,data_S9.csv,0.0
212,10,-0.5472,accuracy,1.0,left,v,data_S9.csv,0.0
213,11,3.8443,accuracy,4.0,right,v,data_S9.csv,0.0
214,12,0.0739,accuracy,1.0,right,v,data_S9.csv,0.0
215,13,-1.1316,accuracy,2.0,left,v,data_S9.csv,0.0
216,14,-0.0096,accuracy,2.0,right,v,data_S9.csv,0.0
217,15,-2.8914,accuracy,3.0,left,v,data_S9.csv,0.0
218,16,-5.3569,accuracy,5.0,left,v,data_S9.csv,0.0
219,17,0.9607,speed,,,a,data_S9.csv,0.0
220,18,1.8548,speed,3.0,right,v,data_S9.csv,0.0
