,level_0,value,stimulus,parameter,participant,fit
0,1,0.4643,,zr,data_S0.csv,0.0
1,2,0.8112,,a,data_S0.csv,0.0
2,3,0.4932,1.0,v,data_S0.csv,0.0
3,4,0.3244,,t0,data_S0.csv,0.0
4,5,2.9022,4.0,v,data_S0.csv,0.0
5,6,1.4107,2.0,v,data_S0.csv,0.0
6,7,2.2697,3.0,v,data_S0.csv,0.0
